Lake,Area,Max.depth,Elevation,Secchi,pH,Conductivity,TP,DOC,Ca,Bytho,Fish
A.Y. Jackson,6.1,10.1,197,8.3,6.3,19.8,6.1,3.3,1.4,0,1
Acid,17.7,29.8,272,8.5,5.3,18.3,2.6,1.6,1.1,0,0
Bell,281.3,27.2,223,3.6,6.6,25.5,5.1,5.8,1.8,1,1
Bodina,30.3,2.7,210,1.8,6.9,28.08,19.4,10,3.2,0,1
Boundary,74.1,8.5,223,8,6,19.5,4.2,1.4,1.1,0,1
Carlyle,166.9,13.1,218,3.6,6.4,22.6,10.2,3.6,1.6,1,1
Charlton,218.9,17.3,200,4.6,7.3,62.2,6,4.3,5,0,1
Clearsilver,23.9,14.5,222,11.2,5.2,18.7,1.8,0.9,0.7,1,0
David,325.8,22.6,243,4.9,5.5,17.5,3.1,1.5,1.1,0,1
deLamorandiere,5.3,7.6,294,7.6,5.1,28.08,5.3,1.4,1,0,0
Evangeline,384.9,20.6,205,3.6,7,46,16.8,6.1,3.2,0,1
Fish,90.7,8.1,212,3.8,6.5,25.7,6.1,4.4,1.9,0,1
Freeland,32.2,2.4,191,2.4,5.7,21.6,7.2,3.4,1.6,0,1
Frood,191.8,17.6,196,4.4,7.3,61.4,11.2,4.4,4.9,0,1
Gail,16.6,16,252,15.5,4.6,20.8,2.8,0.5,0.6,0,0
Gem,14.2,19.6,214,3.5,6.8,27.3,8.1,5.2,2.5,0,1
George,147.9,39.2,185,8,6.6,24.9,3.5,1.9,1.8,1,1
Great Mountain,191.6,36.9,224,7.1,6,20.1,12.9,2.6,1.4,0,1
Helen,68.2,39,185,6.6,7.1,26.8,3.6,3.4,2.6,1,1
Howry,101.9,28,201,4.5,6.9,28.8,7.2,4.8,2.7,0,1
Ishmael,65.4,17.5,182,6.8,7,29.2,4.8,4,2.8,0,1
Johnnie,395.5,32.4,200,4.3,6.2,23.6,4.5,3.5,1.7,0,1
Kakakise,118.9,23.5,190,6.9,6.8,32.2,2.6,3,2.4,1,1
Killarney,357.2,56.9,199,13.6,5.4,23.6,2.5,0.5,1.4,0,1
La Cloche,1088.3,33.9,192,3.8,7.3,42.8,7.3,5.5,3.4,1,1
Little Mountain,20,25.6,232,15.3,5.2,22.8,1.8,0.1,1.3,0,0
Little Sheguiandah,5,2.5,184,2.5,7,20.2,9.2,5.2,1.4,0,1
Little Superior,12.1,34.7,276,18.5,4.4,28.08,2,0.1,0.7,0,0
Logboom,6,6.1,220,1.4,6.1,25.1,11.3,5,1.8,0,1
Low,28.6,28.4,182,6.8,7.8,68,6.6,3.3,8.8,1,1
Lumsden,21.5,23.3,213,9,5.6,17.4,3.3,1.2,1.1,0,0
Muriel,22.6,13.4,194,9.8,5.8,28.08,3.1,0.9,1.8,0,1
Nellie,238.3,49,267,21.6,4.7,30.7,1.2,0.3,1.3,0,0
Norway,59.6,34.4,198,8.5,5.7,21.6,1.7,1,1.3,0,1
O.S.A.,291.4,39.8,205,20,5.1,28,2.6,0.2,1.7,0,0
Partridge,9.2,16.8,203,10,6.2,25,2.6,2,1.8,0,1
Proulx,10.5,29.1,257,22,4.7,28.08,2.4,0.1,1.1,0,0
Roque,3.4,8.6,298,6.5,5.1,28.08,5.7,1.9,1.2,0,0
Ruth-Roy,46.1,19.3,217,13.7,5.1,22.1,2.4,0.1,1,0,0
Shingwak,4.6,22.1,282,22.1,4.8,28.08,2,0.1,0.9,0,0
Solomon,5.2,3.6,292,3.6,5,28.08,8.9,2,1.1,0,0
Terry,10.1,8,212,4.8,5.8,20.6,8.8,4.5,1.4,0,1
Threenarrows,947.9,35.9,197,6.1,6.3,28.08,4.2,3.4,1.8,0,1
Turbid,14.8,9.4,217,5.4,5.4,23.5,5.8,6,1.3,0,1
Whiskeyjack,13.8,43.4,276,28,4.6,27.2,1.3,0.2,0.4,0,0
